NR_TURNO;SG_UF;CD_CARGO;DS_CARGO;NR_CANDIDATO;NM_URNA_CANDIDATO;NR_PARTIDO;SG_PARTIDO;DS_NACIONALIDADE;SG_UF_NASCIMENTO;NR_IDADE_DATA_POSSE;DS_GENERO;DS_GRAU_INSTRUCAO;DS_ESTADO_CIVIL;DS_COR_RACA;ST_REELEICAO
1;DF;8;DEPUTADO DISTRITAL;27600;CARLÃO FILHO DA PÁTRIA;27;DC;BRASILEIRA NATA;RJ;67;MASCULINO;LÊ E ESCREVE;DIVORCIADO(A);PRETA;N
1;DF;5;SENADOR;222;FLÁVIA ARRUDA;22;PL;BRASILEIRA NATA;DF;43;FEMININO;SUPERIOR COMPLETO;CASADO(A);PARDA;N
1;DF;8;DEPUTADO DISTRITAL;28128;ALINE CALADO;28;PRTB;BRASILEIRA NATA;GO;35;FEMININO;SUPERIOR COMPLETO;CASADO(A);BRANCA;N
1;DF;6;DEPUTADO FEDERAL;2033;IVAN BIGODE;20;PSC;BRASILEIRA NATA;DF;41;MASCULINO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;N
1;DF;8;DEPUTADO DISTRITAL;23888;BENEDITO DA VOZINHA;23;CIDADANIA;NÃO DIVULGÁVEL;Não divulgável;;NÃO DIVULGÁVEL;NÃO DIVULGÁVEL;NÃO DIVULGÁVEL;NÃO DIVULGÁVEL;Não divulgável
1;DF;6;DEPUTADO FEDERAL;7757;VIVI ALVES;77;SOLIDARIEDADE;BRASILEIRA NATA;DF;36;FEMININO;ENSINO MÉDIO INCOMPLETO;CASADO(A);PRETA;N
1;DF;8;DEPUTADO DISTRITAL;10800;DR. EDUARDO MOREIRA;10;REPUBLICANOS;BRASILEIRA NATA;BA;48;MASCULINO;SUPERIOR COMPLETO;CASADO(A);PARDA;N
1;DF;8;DEPUTADO DISTRITAL;19266;PROFESSORA TEREZINHA;19;PODE;BRASILEIRA NATA;AM;71;FEMININO;SUPERIOR COMPLETO;SOLTEIRO(A);BRANCA;N
1;DF;8;DEPUTADO DISTRITAL;36036;PROFESSOR ORLANDO JÚNIOR;36;AGIR;BRASILEIRA NATA;BA;34;MASCULINO;ENSINO MÉDIO COMPLETO;CASADO(A);NÃO INFORMADO;N
1;DF;8;DEPUTADO DISTRITAL;14144;EVA FERNANDES;14;PTB;BRASILEIRA NATA;GO;49;FEMININO;ENSINO MÉDIO COMPLETO;SEPARADO(A) JUDICIALMENTE;PRETA;N
1;DF;8;DEPUTADO DISTRITAL;11033;JULIO CEZAR;11;PP;BRASILEIRA NATA;DF;49;MASCULINO;SUPERIOR INCOMPLETO;SOLTEIRO(A);BRANCA;N
